,brand,model,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,audio_jack,bluetooth,GPS,NFC,radio,battery,approx_price_EUR,img_url,GSM,LTE,DualSim,NumberOfCores,li-ion,li-po,AMOLED,([^\w]|\b)OLED,TFT,LCD,Android,Windows,iOS
2304,Philips,X800,,Yes,Yes,2008,101 x 52.4 x 16.3 mm (3.98 x 2.06 x 0.64 in),99.0,Mini-SIM,TFT resistive touchscreen  256K colors,2.8 inches (~42.2% screen-to-body ratio),240 x 400 pixels (Wide QVGA) (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),47 MB,64 MB RAM| 128 ROM,2 MP| autofocus,No,No,Yes,,,No,Removable Li-Ion 1250 mAh battery,370.0,http://cdn2.gsmarena.com/vv/bigpic/philips-xenium-x800.jpg,GSM,,,1,Yes,,,,TFT,,,,
2305,alcatel,OT-891 Soul,HSPA,Yes,Yes,2011,105 x 58 x 12.6 mm (4.13 x 2.28 x 0.50 in),100.0,Mini-SIM,TFT resistive touchscreen  256K colors,2.8 inches (~39.9% screen-to-body ratio),320 x 240 pixels (~143 ppi pixel density),Android 2.1 (Eclair),420 MHz,Mediatek MT6516,,microSD  up to 16 GB (dedicated slot),150 MB,,2 MP,No,Yes,Yes,Yes,,Stereo FM radio| RDS,Removable Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch891.jpg,GSM,,,1,Yes,,,,TFT,,Yes,,
2306,Asus,J501,,Yes,,2007,103 x 48 x 16.6 mm (4.06 x 1.89 x 0.65 in),100.0,Mini-SIM,TFT  256K colors,2.2 inches (~30.3% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,microSD (dedicated slot),5 MB,,2 MP| autofocus,No,No,Yes,,,FM radio,Removable Li-Ion 750 mAh battery,300.0,http://cdn2.gsmarena.com/vv/bigpic/asus-j501.gif,GSM,,,1,Yes,,,,TFT,,,,
2307,LG,T515 Cookie Duo,,Yes,Yes,2011,105 x 57.3 x 12.9 mm (4.13 x 2.26 x 0.51 in),100.0,Dual SIM (Mini-SIM| dual stand-by),TFT touchscreen  256K colors,2.8 inches (~40.4% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),50 MB,,2 MP,No,No,Yes,,,FM radio,Removable Li-Ion 1100 mAh battery,60.0,http://cdn2.gsmarena.com/vv/bigpic/lg-cookie-duo-t515.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2308,LG,T510,,Yes,Yes,2011,105 x 57.3 x 12.9 mm (4.13 x 2.26 x 0.51 in),100.0,Dual SIM (Mini-SIM| dual stand-by),TFT touchscreen  256K colors,2.8 inches (~40.4% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),50 MB,,2 MP,No,No,Yes,,,FM radio,Removable Li-Ion 1100 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/lg-t510-new.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2309,Motorola,MotoGO EX430,HSPA 7.2/0.384 Mbps,Yes,Yes,2012,104 x 63.9 x 13 mm (4.09 x 2.52 x 0.51 in),100.0,Mini-SIM,TFT  256K colors,2.2 inches (~22.6% screen-to-body ratio),320 x 240 pixels (~182 ppi pixel density),,MTK 6276W,,,microSD  up to 32 GB (dedicated slot)  2 GB included,50 MB,,2 MP,No,Yes,Yes,Yes,,FM radio,Removable Li-Ion 910 mAh battery,130.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-motogo.jpg,GSM,,,1,Yes,,,,TFT,,,,
2310,Motorola,EM30,,Yes,Yes,2008,115 x 53 x 10.6 mm (4.53 x 2.09 x 0.42 in),100.0,Mini-SIM,TFT  256K colors,2.0 inches (~20.3% screen-to-body ratio),320 x 240 pixels (~200 ppi pixel density),Linux / Java-based MOTOMAGX,,,,microSD  up to 8 GB (dedicated slot),,,2 MP,No,Yes,Yes,,,Stereo FM radio| RDS,Removable Li-Ion 970 mAh battery (BK60),60.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-em30.jpg,GSM,,,1,Yes,,,,TFT,,,,
2311,Motorola,ROKR E8,,Yes,Yes,2007,115 x 53 x 10.6 mm| 60 cc (4.53 x 2.09 x 0.42 in),100.0,Mini-SIM,TFT  256K colors,2.0 inches (~20.3% screen-to-body ratio),320 x 240 pixels (~200 ppi pixel density),Linux / Java-based MOTOMAGX,,,,microSD (dedicated slot),2 GB,,2 MP,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 970 mAh battery (BK60),70.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-rokr_e8.gif,GSM,,,1,Yes,,,,TFT,,,,
2312,Orange,Miami,,Yes,Yes,2011,105 x 50 x 12.5 mm (4.13 x 1.97 x 0.49 in),100.0,Mini-SIM,TFT resistive touchscreen  256K colors,2.8 inches (~42.5% screen-to-body ratio),240 x 400 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),10 MB,,2 MP,No,No,Yes,,,Stereo FM radio,Removable Li-Ion 800 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/orange-miami.jpg,GSM,,,1,Yes,,,,TFT,,,,
2313,Samsung,S5690 Galaxy Xcover,HSPA 7.2/5.76 Mbps,Yes,Yes,2011,121.5 x 65.9 x 12 mm (4.78 x 2.59 x 0.47 in),100.0,Mini-SIM,Capacitive touchscreen  16M colors,3.65 inches (~49.5% screen-to-body ratio),320 x 480 pixels (~158 ppi pixel density),Android 2.3 (Gingerbread),800 MHz Marvell MG2,,,microSD  up to 32 GB (dedicated slot),150 MB,512 MB RAM,3.15 MP| autofocus| LED flash,No,Yes,Yes,Yes,,Stereo FM radio| RDS,Removable Li-Ion 1500 mAh battery,90.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-xcover.jpg,GSM,,,1,Yes,,,,,,Yes,,
2314,Spice,Mi-436 Stellar Glamour,HSPA,Yes,Yes,2013,125 x 65.8 x 11.5 mm (4.92 x 2.59 x 0.45 in),100.0,Dual SIM,Capacitive touchscreen,4.0 inches (~55.4% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.2 (Jelly Bean),Dual-core 1.2 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD  up to 32 GB (dedicated slot),,,5 MP,1.3 MP,Yes,Yes,Yes,,FM radio,Li-Ion 1400 mAh battery,70.0,http://cdn2.gsmarena.com/vv/bigpic/spice-mi-436.jpg,GSM,,Yes,2,Yes,,,,,,Yes,,
2315,T-Mobile,Arizona,HSPA 3.6/0.384 Mbps,Yes,Yes,2011,104 x 55 x 12.9 mm (4.09 x 2.17 x 0.51 in),100.0,Mini-SIM,TFT touchscreen  256K colors,2.8 inches (~42.4% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Android OS,,,,microSD  up to 32 GB (dedicated slot)  2 GB included,100 MB,,2 MP,No,Yes,Yes,Yes,,,Removable Li-Ion 1100 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/t-mobile-arizona.jpg,GSM,,,1,Yes,,,,TFT,,Yes,,
2316,Unnecto,Drone Z,HSPA 21.1/5.76 Mbps,Yes,Yes,2014,116 x 61 x 11.5 mm (4.57 x 2.40 x 0.45 in),100.0,Dual SIM (dual stand-by),Capacitive touchscreen,3.5 inches (~51.5% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.2.2 (Jelly Bean),Dual-core 1.0 GHz,,,microSD  up to 32 GB,512 MB,256 MB RAM,3.15 MP,VGA,Yes,Yes,Yes,,FM radio,Li-Ion 1200 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/unnecto-drone-z.jpg,GSM,,Yes,2,Yes,,,,,,Yes,,
